title	description	url	publishedAt	keyword
[Removed]	[Removed]	https://removed.com	1970-01-01T00:00:00Z	['anatomy_of_a_fall', 'anatomy_of_a_fall', 'saltburn', 'saltburn', 'saltburn']
‘The Marvels’ Debuts Atop U.K., Ireland Box Office as ‘Tiger 3’ Roars	Disney’s “The Marvels” debuted atop the U.K. and Ireland box office with £3.4 million ($4.2 million), according to numbers released by Comscore. However, in keeping with its global bow, the opening was soft as the latest installment in the MCU scored just abo…	https://variety.com/2023/film/box-office/the-marvels-uk-ireland-box-office-tiger-3-1235790192/	2023-11-14T12:57:43Z	['hunger_games', 'anatomy_of_a_fall', 'saltburn', 'trolls']
November's most anticipated films: Napoleon invades, The Marvels takes flight, and more	Even though Hollywood strikes—one ongoing, one ended—have created turmoil on movie release calendars, November is still shaping up to be a strong month for films, We’ve got sequels, prequels, and awards hopefuls, meaning everyone should be cinematically satia…	https://www.avclub.com/november-2023-film-preview-napoleon-the-marvels-1850938508	2023-10-24T14:00:00Z	['trolls', 'the_marvels']
Weekend Box Office: The Marvels bombs	"Box Office: 'The Marvels' Misfires With $47 Million, Lowest MCU Opening Weekend of All Time https://t.co/zVOUZMETVg
— Variety (@Variety) November 12, 2023The Marvels may have nabbed top spot at the box office this weekend, but that point is the only good thi…"	https://ohnotheydidnt.livejournal.com/127221213.html	2023-11-12T17:25:05Z	['saltburn', 'trolls']
Napoleon: 6 Minutes of Ridley Scott’s Drama to Screen in IMAX This Weekend	Sony Pictures has announced that moviegoers will have the chance to watch a six-minute sneak peek of Ridley Scott’s highly-anticipated epic war drama Napoleon in IMAX at select Regal theaters this weekend. This comes ahead of its theatrical release on Novembe…	https://www.comingsoon.net/movies/news/1381204-napoleon-6-minutes-ridley-scott-drama-imax	2023-10-27T18:22:39Z	['saltburn', 'trolls']
Deadline Launches Streaming Site For Sound & Screen: Film	The 2023 edition of Deadline’s live-music event Sound & Screen: Film hit the stage November 9 showcasing the songs and scores from 12 of the ramping-up awards season’s buzziest movies. Panelists and performances came from the likes of Diane Warren and Mark Ro…	https://deadline.com/2023/11/2023-sound-and-screen-streaming-site-1235601098/	2023-11-13T18:00:00Z	['saltburn', 'barbie_movie']
Can ‘The Hunger Games’ Prequel Rule The November 2023 Box Office?	Sequels, original family fare, and award season darlings will vie for audience attention through the Thanksgiving holiday.	https://www.forbes.com/sites/markhughes/2023/11/09/can-the-hunger-games-prequel-rule-the-november-2023-box-office/	2023-11-09T17:01:41Z	['hunger_games', 'trolls']
‘Wonka’ Granted China Release On Same Day As ‘Migration’; Both Pics Rolling Out Early Overseas	Warner Bros/Heyday Films’ Wonka has been granted a December 8 release in China, a week ahead of the domestic start and as part of an early overseas rollout for the Timothée Chalamet-starrer. Wonka will be going the same day as Universal/Illumination’s Migrati…	https://deadline.com/2023/11/wonka-migration-china-release-date-upcoming-films-1235596578/	2023-11-09T10:16:00Z	['hunger_games', 'transformers']
'The Marvels' bombs with worst MCU opening yet	The age of superhero movies is over. 'The Marvels,' already perceived as the MCU's Hail Mary, failed to crack $48m on its opening weekend. With a $274.8m official budget (and much more spent on marketing), it is all but doomed to be the fall movie season's bi…	https://boingboing.net/2023/11/13/the-marvels-bombs-with-worst-mcu-opening-yet.html	2023-11-13T14:57:22Z	['hunger_games', 'the_marvels']
Instead of combining two movies, why not simply trim the material?	Lots of ink has already been spilled over two simple truths in modern media. First is the fact that movies are really, really long nowadays. Like, “so long we think they should have an obligatory intermission” long. Second is the fact that studios can’t seem …	https://www.avclub.com/ballad-of-songbirds-and-snakes-edit-hunger-games-1850990471	2023-11-03T18:39:29Z	['hunger_games', 'oppenheimer']
The Marvels just might be the MCU’s first huge box office disaster	With The Marvels, the MCU might experience its first major box office disaster.	https://www.digitaltrends.com/movies/the-marvels-mcu-first-box-office-bomb/	2023-11-06T15:30:05Z	['barbie_movie', 'the_marvels']
China's economy is on shaky ground - but its movie industry is hitting historic box office records	From June to September, Chinese consumers spent $3.2 billion at the box office, a record high for that stretch.	https://www.businessinsider.com/china-economy-markets-movie-industry-box-office-records-hollywood-investors-2023-10	2023-10-16T13:20:48Z	['barbie_movie', 'oppenheimer']
Cinemark Q3 Revenue Surges Above Pre-Pandemic Levels; Theater Chain “Highly Optimistic” About Future Of Moviegoing	Cinemark revenue set a record in the third quarter, thanks to blockbusters like Barbie and Oppenheimer, and even notched a 6% gain over pre-pandemic 2019 levels. The major exhibitor reported revenue of $875 million in the quarter ending September 30, up 35% o…	https://deadline.com/2023/11/cinemark-revenue-barbie-oppenheimer-moviegoing-pandemic-1235591833/	2023-11-03T11:19:15Z	['barbie_movie', 'oppenheimer']
The Strikes Are Over, but the Damage to Theaters Has Just Begun	"Taylor Swift, ""Barbie,"" ""Oppenheimer,"" and ""Sound of Freedom"" saved 2023. Next year will need more surprise blockbusters to paper over the gaps."	https://www.indiewire.com/news/box-office/strikes-over-damage-theatrical-box-office-1234925398/	2023-11-13T13:30:00Z	['barbie_movie', 'oppenheimer']
SAG-AFTRA Tells Striking Actors to Avoid Character Costumes for Halloween	"Image: Universal
Halloween is just over a week away, with parties for the annual holiday likely hitting next weekend. Normally, this year’s festivities would be like any other year: you dress up with your friends as your favorite characters and hang out or w…"	https://gizmodo.com/sag-aftra-strike-actors-halloween-costumes-1850947205	2023-10-21T14:30:00Z	['barbie_movie', 'oppenheimer']
What Your Halloween 2023 Outfit Says About You	What if we kissed dressed as Weird Barbie?	https://www.vice.com/en/article/k7zx7e/halloween-2023-outfits	2023-10-25T07:45:00Z	['barbie_movie', 'oppenheimer']
Something Surprised Christopher Nolan When He Snuck Into A Screening Of Oppenheimer	Christopher Nolan had to see for himself whether Oppenheimer is truly succeeding at gripping audiences, and what he saw pleased him very much.	https://www.slashfilm.com/1442215/christopher-nolan-oppenheimer-screening-surprised/	2023-11-11T04:45:00Z	['barbie_movie', 'oppenheimer']
‘Haunted Mansion’ Director Justin Simien Says Disney Film’s Release Plan Didn’t Account for ‘Coming Out in the Shadow’ of ‘Barbenheimer’	"""I think the release date was really tough — I saw ‘Barbie’ coming from miles away,"" Simien said. ""I was disappointed by some aspects of our release, but I was not really surprised."""	https://www.indiewire.com/news/general-news/haunted-mansion-justin-simien-barbenheimer-1234917883/	2023-10-18T19:30:00Z	['barbie_movie', 'oppenheimer']
Can Paul Giamatti Finally Get Nominated for Best Actor?	Paul Giamatti’s reunion with director Alexander Payne on ‘The Holdovers’ offers the Academy the chance to make up for snubbing him in Best Actor for ‘Sideways’ in 2005.	http://www.vulture.com/2023/10/can-paul-giamatti-finally-get-nominated-for-best-actor.html	2023-10-27T21:06:55Z	['anatomy_of_a_fall', 'saltburn']
‘Five Nights at Freddy’s’ Beats Opening Weekend Ticket Sales for ‘Oppenheimer’ and ‘Taylor Swift: The Eras Tour’	"""The Holdovers"" and ""Priscilla"" both show initial promise in platform debuts, but with $78 million ""Freddy's"" is an ""Easy Rider"" moment for Gen Z."	https://www.indiewire.com/news/box-office/five-nights-at-freddys-box-office-history-with-78-million-1234921169/	2023-10-29T18:18:18Z	['anatomy_of_a_fall', 'oppenheimer']
2023 Gotham Awards Nominate ‘Passages,’ ‘Barbie,’ and More	The 33rd annual Gotham Awards will take place November 27 in New York City.	https://www.indiewire.com/awards/results/2023-gotham-award-nominees-1234919477/	2023-10-24T16:10:11Z	['anatomy_of_a_fall', 'barbie_movie']
Ranking the 10 biggest upcoming film releases for October 2023	Let's take a look at the 10 biggest movies coming out this month.	https://ftw.usatoday.com/lists/ranking-the-10-biggest-upcoming-film-releases-for-october-2023-2	2023-11-03T11:30:21Z	['trolls']
Buy Digital Film & Earn $8 Fandango Credit to Trolls: Band Together $7.99	"didn't see this posted yet; titles look like they start at $7.99 for the two trolls movies in uhd/hdx and the rest are $9.99-$14.99, and bundles $14.99-$19.99 
sale page: https://www.vudu.com/content/ ..."	https://slickdeals.net/f/17053435-buy-digital-film-earn-8-fandango-credit-to-trolls-band-together-7-99	2023-11-11T07:05:14Z	['trolls']
Box Office Results: The Marvels Fails to Ignite	Disney/Marvel’s The Marvels failed to get off the ground in its debut weekend, collecting a meager $47 million at the domestic box office. The pic ranks as the lowest opening for an MCU film to date, falling short of The Incredible Hulk’s $55M opening in 2008…	https://www.comingsoon.net/movies/news/1399336-box-office-results-the-marvels-fails-to-ignite	2023-11-12T20:50:44Z	['trolls']
Jamestown Season 1 Streaming: Watch & Stream Online via Amazon Prime Video	Jamestown Season 1 is a British historical drama television series that follows the first English settlers to arrive in Jamestown. The series focuses on three women, Alice, Verity, and Jocelyn, who are sent to Jamestown as “maids to make wives” for the men wh…	https://www.comingsoon.net/guides/news/1389417-jamestown-season-1-streaming-watch-stream-online-via-amazon-prime-video	2023-11-04T02:17:32Z	['trolls']
Celebratory Cartoon Movie Shakes - The Shake Shack Poppy’s Sugar Cookie Shake is Rainbow-Colored (TrendHunter.com)	"(TrendHunter.com) The Shake Shack Poppy’s Sugar Cookie Shake has been created as a UK-exclusive menu item in partnership with Universal studios to provide avid fans with a delicious treat to try out.

The shake..."	https://www.trendhunter.com/trends/poppys-sugar-cookie-shake	2023-10-17T16:35:03Z	['trolls']
JoBlo Rocks Out With Trolls at TrollFest: An Immersive Fan Event for Trolls Band Together	"JoBlo Rocks Out with Trolls at TrollFest: An Immersive Fan Event celebrating the release of Trolls Band Together
The post JoBlo Rocks Out With Trolls at TrollFest: An Immersive Fan Event for Trolls Band Together appeared first on JoBlo."	https://www.joblo.com/trollfest/	2023-11-03T17:37:50Z	['trolls']
Joey Fatone Addresses *NSYNC Tour Rumors, Cosmetic Procedures He's Had Done	Joey Fatone opened up in a candid interview about cosmetic procedures and those *NSYNC reunion tour rumors. The 46-year-old musician addressed the stigma of men talking about undergoing procedures to change their appearance. He said that he wasn’t embarrassed…	https://www.justjared.com/2023/11/12/joey-fatone-addresses-nsync-tour-rumors-cosmetic-procedures-hes-had-done/	2023-11-12T05:25:11Z	['trolls']
Box Office Results: Five Nights at Freddy’s Takes a Bite	Universal/Blumhouse scored another hit with the big-screen adaptation of Five Nights at Freddy’s, which scored $78 million in its debut, crushing even the most outlandish forecasts by a healthy margin, per Deadline. What’s more impressive is that Five Nights …	https://www.comingsoon.net/movies/news/1381718-box-office-results-five-nights-at-freddys-takes-a-bite	2023-10-29T19:12:40Z	['trolls']
Box Office Report: ‘The Nightmare Before Christmas’ Enjoys $4.1M Anniversary Weekend As ‘Trolls’ Tops U.K. Box Office	'PAW Patrol: The Mighty Movie' continued it's impressive box office run at home and abroad.	https://www.cartoonbrew.com/box-office-report/nightmare-before-christmas-paw-patrol-trolls-box-office-233992.html	2023-10-23T13:06:27Z	['trolls']
Box Office Report: ‘The Nightmare Before Christmas’ Enjoys $4.1M Anniversary Weekend As ‘PAW Patrol’ Continues Its Mighty Run	Dreamworks' 'Trolls Band Together' opened in first place in the U.K., ahead of Scorsese and Taylor Swift.	https://www.cartoonbrew.com/box-office-report/nightmare-before-christmas-paw-patrol-trolls-233992.html	2023-10-23T13:06:27Z	['trolls']
Box Office Predictions: Five Nights at Freddy’s to top the charts for a second week	"With a lack of competition, Five Night's at Freddy's should easily cruise to a second week atop the charts. 
The post Box Office Predictions: Five Nights at Freddy’s to top the charts for a second week appeared first on JoBlo."	https://www.joblo.com/box-office-predictions-five-nights-at-freddys-to-top-the-charts-for-a-second-week/	2023-11-02T15:09:47Z	['trolls']
Justin Timberlake Is Getting Canceled	"Fans are turning against the pop star following revelations in ex-girlfriend Britney Spears' memoir ""The Woman in Me,"" and his past treatment of women is under scrutiny."	https://www.newsweek.com/justin-timberlake-canceled-britney-spears-janet-jackson-woman-me-1837646	2023-10-25T10:25:06Z	['trolls']
Big Rusty – South Jersey’s Giant Troll	Big Rusty – A Giant Troll with a Taste for the Abandoned If you walk...	https://weirdnj.com/stories/abandoned/big-rusty-giant-troll/	2023-11-01T14:32:39Z	['trolls']
Ranking the 10 biggest upcoming film releases for November 2023	Let's take a look at the 10 biggest movies coming out this month.	https://ftw.usatoday.com/lists/ranking-the-10-biggest-upcoming-film-releases-for-november-2023-2	2023-11-03T11:30:21Z	['trolls']
Quest is Getting a Flurry of New Games in the Next Month and a Half	Better keep a tight grip on that wallet—the next month and a half will see the launch of a flurry of anticipated games for Meta Quest 2 and Quest 3 (and a few which are also coming to PSVR 2 and PC VR). Here’s what should be on your radar. If you’ve been look…	https://www.roadtovr.com/meta-quest-2-3-games-2023/	2023-10-26T18:49:26Z	['trolls']
